date,precip,tmin
5/1/2021,0,40
5/2/2021,0,53
5/3/2021,0.53,52
5/4/2021,0.54,51
5/5/2021,0.29,49
5/6/2021,0,47
5/7/2021,0,43
5/8/2021,0.07,42
5/9/2021,0.64,39
5/10/2021,0.07,43
5/11/2021,0,41
5/12/2021,0,43
5/13/2021,0,41
5/14/2021,0,44
5/15/2021,0,45
5/16/2021,0,51
5/17/2021,0,47
5/18/2021,0,51
5/19/2021,0,54
5/20/2021,0,52
5/21/2021,0,50
5/22/2021,0,56
5/23/2021,0,61
5/24/2021,0,55
5/25/2021,0,53
5/26/2021,0.27,58
5/27/2021,0.08,59
5/28/2021,1.21,48
5/29/2021,0.42,45
5/30/2021,0.84,45
5/31/2021,0,47
6/1/2021,0,48
6/2/2021,0,53
6/3/2021,0.46,54
6/4/2021,0.1,62
6/5/2021,0,61
6/6/2021,0,68
6/7/2021,0.4,66
6/8/2021,1.55,68
6/9/2021,0,69
6/10/2021,0,58
6/11/2021,0,55
6/12/2021,0,55
6/13/2021,0,53
6/14/2021,0.24,61
6/15/2021,0,62
6/16/2021,0,56
6/17/2021,0,49
6/18/2021,0,54
6/19/2021,0.87,64
6/20/2021,0,58
6/21/2021,0,67
6/22/2021,0.29,55
6/23/2021,0,50
6/24/2021,0,52
6/25/2021,0,59
6/26/2021,0.03,66
6/27/2021,0,69
6/28/2021,0,73
6/29/2021,0,77
6/30/2021,0.04,73
7/1/2021,0.71,69
7/2/2021,1.17,58
7/3/2021,0.1,58
7/4/2021,0.01,57
7/5/2021,0,60
7/6/2021,0.77,68
7/7/2021,0,69
7/8/2021,1.42,68
7/9/2021,0.25,69
7/10/2021,,67
7/11/2021,0,67
7/12/2021,0,68
7/13/2021,0.01,66
7/14/2021,0,67
7/15/2021,0,68
7/16/2021,0,71
7/17/2021,0,71
7/18/2021,0,71
7/19/2021,,67
7/20/2021,,67
7/21/2021,0,65
7/22/2021,0,62
7/23/2021,0,60
7/24/2021,0,60
7/25/2021,0,64
7/26/2021,,68
7/27/2021,0,65
7/28/2021,,65
7/29/2021,0,64
7/30/2021,,59
7/31/2021,0,53
8/1/2021,0,59
8/2/2021,0,59
8/3/2021,,
8/4/2021,0,61
8/5/2021,0,64
8/6/2021,0,62
8/7/2021,0,65
8/8/2021,0.16,64
8/9/2021,0,67
8/10/2021,0.06,67
8/11/2021,0.54,70
8/12/2021,0.01,71
8/13/2021,0,71
8/14/2021,0,70
8/15/2021,0,64
8/16/2021,0,63
8/17/2021,0,67
8/18/2021,0,67
8/19/2021,0.31,73
8/20/2021,0,70
8/21/2021,0.06,69
8/22/2021,2.38,68
8/23/2021,0.97,70
8/24/2021,0,69
8/25/2021,0,65
8/26/2021,0,72
8/27/2021,0,73
8/28/2021,0.03,66
8/29/2021,0,64
8/30/2021,0.02,69
8/31/2021,0,68
9/1/2021,6.06,61
9/2/2021,0.1,55
9/3/2021,0,52
9/4/2021,0,54
9/5/2021,0.14,59
9/6/2021,0,61
9/7/2021,0,57
9/8/2021,0.03,62
9/9/2021,0.56,65
9/10/2021,0,53
9/11/2021,0,53
9/12/2021,0,63
9/13/2021,0.04,66
9/14/2021,0,60
9/15/2021,0.03,69
9/16/2021,0.11,65
