date,precip,flow_avg,flow_max,flow_min
5/1/2021,0,15.80869565,,10.4
5/2/2021,0,18.125,,9.4
5/3/2021,0.21,17.75,,10.8
5/4/2021,0.2,19.07916667,,14.2
5/5/2021,0.39,16.91541667,,11.7
5/6/2021,0,18.175,,12.2
5/7/2021,0,18.49583333,,11.6
5/8/2021,0.01,16.25652174,,10.6
5/9/2021,0.51,18.1125,,9.7
5/10/2021,0.19,20.44583333,,15.6
5/11/2021,0,18.3125,,11.6
5/12/2021,0,17.47916667,,11.9
5/13/2021,0,17.2875,,11.4
5/14/2021,0,18.04583333,,11.2
5/15/2021,0,15.025,,9.3
5/16/2021,0.09,18.89583333,,9.4
5/17/2021,0.09,14.88333333,,10.6
5/18/2021,0,15.16666667,,10.4
5/19/2021,0,16.6,,9.4
5/20/2021,0,15.475,,10.4
5/21/2021,0,16.96666667,,10.8
5/22/2021,0,14.38333333,,8.4
5/23/2021,0.02,16.37083333,,9.2
5/24/2021,0,15.79583333,,9.4
5/25/2021,0,15.31666667,,8.7
5/26/2021,0.28,18.4125,,10
5/27/2021,0.14,15.83333333,,10
5/28/2021,1.52,17.24583333,,9.6
5/29/2021,0.55,20.60416667,,14.6
5/30/2021,1.01,28.52083333,,11.7
5/31/2021,0.01,21.11666667,,16.2
6/1/2021,0.04,22.28333333,,13.2
6/2/2021,0.03,18.275,,11.7
6/3/2021,0.03,18.47916667,,10.8
6/4/2021,0.03,19.76666667,,11.7
6/5/2021,0.02,16.19166667,,10.5
6/6/2021,0.02,17.3875,,9.9
6/7/2021,0.02,17.44384058,,10.6
6/8/2021,0.24,17.24166667,,10.3
6/9/2021,0.01,16.36666667,,9.1
6/10/2021,0,16.34583333,,9.6
6/11/2021,0,17.67916667,,8.9
6/12/2021,0,14.825,,7.8
6/13/2021,0,17.2125,,8.6
6/14/2021,0,16.97916667,,9.6
6/15/2021,0,16.05416667,,9.4
6/16/2021,0,15.45833333,,9.2
6/17/2021,0,14.89166667,,8.7
6/18/2021,0,16.90416667,,8.7
6/19/2021,0.1,14.75833333,,8.9
6/20/2021,0,16.0125,,8.7
6/21/2021,0,16.1,,9.8
6/22/2021,0.3,17,,9.4
6/23/2021,0,15.1125,,9.9
6/24/2021,0,15.09583333,,8.9
6/25/2021,0,16.62916667,,8.7
6/26/2021,0.05,13.97916667,,7.1
6/27/2021,0,14.99583333,,8
6/28/2021,0,15.1875,,8.4
6/29/2021,0,14.64583333,,8.9
6/30/2021,0.05,14.77083333,,8.9
7/1/2021,0.13,15.34583333,,8.3
7/2/2021,0.36,17.25416667,,9.6
7/3/2021,0.12,15.03333333,,5.2
7/4/2021,0,15.05416667,,7
7/5/2021,0,14.67916667,,8.3
7/6/2021,0.61,15.75833333,,9.3
7/7/2021,0.01,15.10434783,,9.5
7/8/2021,0.74,17.175,,8.8
7/9/2021,0.35,24.40833333,,14
7/10/2021,0,16.425,,11.5
7/11/2021,0.03,16.7375,,10.6
7/12/2021,0.58,16.2625,,11.2
7/13/2021,0.16,17.97083333,,9.6
7/14/2021,0.02,15.99583333,,9.9
7/15/2021,0,14.58333333,,7.8
7/16/2021,0,16.58188406,,9.8
7/17/2021,0.95,14.68333333,,8.6
7/18/2021,0.34,17.15416667,,12.6
7/19/2021,0,21.7375,,10.8
7/20/2021,0,18.38333333,,10.3
7/21/2021,0,18.22083333,,10.5
7/22/2021,0,16.10833333,,10.8
7/23/2021,0,16.10833333,,9.1
7/24/2021,0,13.62083333,,8.1
7/25/2021,1.62,15.50416667,,10.2
7/26/2021,0,20.54347826,,14.2
7/27/2021,0.03,16.475,,11
7/28/2021,0.18,15.9,,8.8
7/29/2021,0.39,17.55833333,,10.5
7/30/2021,0.01,18.63333333,,11.5
7/31/2021,0,14.55416667,,8.6
8/1/2021,0.14,17.19583333,,9.4
8/2/2021,0,17.04583333,,11.4
8/3/2021,0,23.51825397,,11.7
8/4/2021,0,19.85666667,,8.3
8/5/2021,0,15.24166667,,6.7
8/6/2021,0,16.49583333,,10
8/7/2021,0,13.73333333,,8.6
8/8/2021,0.07,16.0625,,9.9
8/9/2021,0.06,15.87192029,,10
8/10/2021,0.05,15.32083333,,8.6
8/11/2021,0.39,15.10416667,,9.1
8/12/2021,0.07,15.37083333,,9.5
8/13/2021,0,15.87083333,,8.7
8/14/2021,0,13.525,,8.6
8/15/2021,0,17.86068841,,7.9
8/16/2021,0,14.50362319,,8.5
8/17/2021,0,14.76666667,,9.5
8/18/2021,0,14.92916667,,9.2
8/19/2021,0.41,17.7125,,13.2
8/20/2021,0,17.24583333,,8.7
8/21/2021,0.13,13.43333333,,8.9
8/22/2021,2.88,22.925,,9
8/23/2021,0.53,32.62300725,,23.6
8/24/2021,0,21.09166667,,16
8/25/2021,0,18.26666667,,13.6
8/26/2021,0,18.05833333,,10.6
8/27/2021,0,23.20833333,,10.9
8/28/2021,0,16.45416667,,10.8
8/29/2021,0,17.57083333,,10.9
8/30/2021,0,16.89583333,,10.3
8/31/2021,0,17.33333333,,11.4
9/1/2021,4.82,19.90833333,,10.5
9/2/2021,0.22,44.42083333,,36.8
9/3/2021,0,31.05833333,,26
9/4/2021,0,24.19130435,,18
9/5/2021,0.02,25.35833333,,18
9/6/2021,0,24.05416667,,15.8
9/7/2021,0,19.79166667,,15.3
9/8/2021,0,19.8875,,14.9
9/9/2021,0.21,22.52083333,,16.4
9/10/2021,0,21.6375,,14.7
9/11/2021,0,17.02083333,,11.7
9/12/2021,0,18.51,,11.2
9/13/2021,0.03,18.3625,,13.1
9/14/2021,0,19.24166667,,13.2
9/15/2021,0,20.03333333,,12.6
9/16/2021,0,16.10833333,,11.7
9/17/2021,0.1,19.82916667,,12.2
9/18/2021,0,16.29583333,,11.2
9/19/2021,0,17.78333333,,10.1
9/20/2021,0,18.87083333,,12.5
9/21/2021,0.11,15.23333333,,10.8
9/22/2021,0.03,16.3125,,11.1
9/23/2021,1.43,18.03586957,,11.6
9/24/2021,0.73,24.44583333,,20.5
9/25/2021,0,18.20833333,,13.6
9/26/2021,0,19.07916667,,11.7
9/27/2021,0,19.42047101,,12.6
9/28/2021,0.05,16.87916667,,10.3
9/29/2021,0,15.61008333,,11.5
9/30/2021,0,18.7625,,11.8
10/1/2021,0,17.93913043,,10.9
10/2/2021,0,14.79166667,,10.1
10/3/2021,0,17.79166667,,2
10/4/2021,0.67,18.90833333,,12.7
10/5/2021,0,17.9875,,11.4
10/6/2021,0,16.73333333,,10.5
10/7/2021,0,16.3125,,10.6
10/8/2021,0,17.84583333,,10.1
10/9/2021,0,14.89710145,,9
10/10/2021,0.03,17.175,,9.3
10/11/2021,0,16.0875,,9.6
10/12/2021,0,15.95833333,,10
10/13/2021,0,16.1297619,,9.6
10/14/2021,0,15.77083333,,9.8
10/15/2021,0,16.77826087,,9.7
10/16/2021,0.56,13.4625,,8.6
10/17/2021,0,17.20416667,,8.5
10/18/2021,0,16.5125,,10
10/19/2021,0,15.55,,9.9
10/20/2021,0,15.72083333,,9.4
10/21/2021,0,15.42916667,,9.9
10/22/2021,0,16.94166667,,10
10/23/2021,0,13.93913043,,8.3
10/24/2021,0.01,16.28333333,,7.9
10/25/2021,0.96,16.74166667,,9.8
10/26/2021,3.99,38.89166667,,21.8
10/27/2021,0.07,37.34166667,,31.9
10/28/2021,0,26.44583333,,19.8
10/29/2021,0.35,25.05253623,,17.8
10/30/2021,0.61,25.4375,,19.5
10/31/2021,0,24.675,,16.9
11/1/2021,0,23.48333333,,16
11/2/2021,0,23.1375,,16.2
11/3/2021,0,22.1,,15.4
11/4/2021,0,25.86,,14.6
11/5/2021,0,21.20833333,,14.1
11/6/2021,0,17.93333333,,12
11/7/2021,0,18.94166667,,10.6
11/8/2021,0,16.65,,10.3
11/9/2021,0,15.66666667,,9.3
11/10/2021,0,16.4875,,10.2
11/11/2021,0,18.38333333,,11.6
11/12/2021,0.78,22.55615942,,13.1
11/13/2021,0.26,19.51291667,,12
11/14/2021,0.02,20.42083333,,11.9
11/15/2021,0.01,19.87083333,,12.1
11/16/2021,0,20.46666667,,12.7
11/17/2021,0,21.42916667,,13.5
11/18/2021,0.14,21.23333333,,13.3
11/19/2021,0,23.06666667,,15.1
11/20/2021,0,19.43333333,,11.7
11/21/2021,0,21.09583333,,13.3
11/22/2021,0.03,21.54166667,,14.2
11/23/2021,0,21.04166667,,14.4
11/24/2021,0,21.76811594,,13.3
11/25/2021,0,21.49583333,,12.5
11/26/2021,0.16,26.35942029,,14.2
11/27/2021,0,19.5375,,13.5
11/28/2021,0,21.02083333,,13.1
11/29/2021,0,20.9125,,12.6
11/30/2021,0,20.37083333,,13.2
12/1/2021,0,20.01666667,,13.1
12/2/2021,0,20.63333333,,13.5
12/3/2021,0,20.55833333,,12.5
12/4/2021,0,18.14166667,,12.2
12/5/2021,0,19.44583333,,11.7
12/6/2021,0.02,20.74583333,,13.8
12/7/2021,0.02,19.72083333,,12.9
12/8/2021,0,19.63333333,,11.2
12/9/2021,0,19.97916667,,12.8
12/10/2021,0,20.9125,,12.2
12/11/2021,0.01,21.02083333,,11.8
12/12/2021,0.01,20.10416667,,12
12/13/2021,0,19.75416667,,12.7
12/14/2021,0,18.92916667,,12.8
12/15/2021,0,19.2375,,12.4
12/16/2021,0,19.6625,,12.6
12/17/2021,0.12,20.85416667,,12.3
12/18/2021,0.12,18.17916667,,11.4
12/19/2021,0.07,20.17916667,,12.7
12/20/2021,0.07,19.20833333,,12.3
12/21/2021,0,19.375,,12.1
12/22/2021,0.23,20.25833333,,12.4
12/23/2021,0.23,19.7865942,,12.6
12/24/2021,0.04,21.0375,,12.9
12/25/2021,0.24,18.96666667,,11.7
12/26/2021,0.24,20.5,,12
12/27/2021,0.06,58.17083333,,12.1
12/28/2021,0.06,19.69166667,,12.4
12/29/2021,0.07,19.87192029,,12.8
12/30/2021,0.07,19.70416667,,12.2
12/31/2021,0.01,20.82264493,,12.1
1/1/2022,0.41,17.57916667,,11.6
1/2/2022,0.41,21.51666667,,14.2
1/3/2022,0.05,19.90833333,,11.9
1/4/2022,0,19.13333333,,13
1/5/2022,0.12,19.92916667,,12.2
1/6/2022,0.12,19.58333333,,13.1
1/7/2022,0.03,19.94583333,,12.4
1/8/2022,0.03,17.10909091,,11.6
1/9/2022,0.25,20.14166667,,12
1/10/2022,0.25,20.275,,13.2
1/11/2022,0.02,19.59583333,,12.7
1/12/2022,0.01,19.10625,,12.7
1/13/2022,0.01,19.89583333,,12.8
1/14/2022,0,20.81666667,,13.4
1/15/2022,0,17.93333333,,10.9
1/16/2022,0,20.04166667,,11
1/17/2022,1.11,25.76666667,,16.6
1/18/2022,1.11,22.06666667,,15.4
1/19/2022,0,21.39583333,,14.2
1/20/2022,0.29,22.6875,,14.7
1/21/2022,0.29,22.34583333,,14.9
1/22/2022,0,19.37083333,,13.1
1/23/2022,0,21.21666667,,13.3
1/24/2022,0,20.26666667,,12.6
1/25/2022,0,20.30833333,,13.5
1/26/2022,0,20.15833333,,13.4
1/27/2022,0,19.62916667,,13.2
1/28/2022,0,20.69166667,,13.1
1/29/2022,0,18.225,,11.9
1/30/2022,0,20.63115942,,12.4
1/31/2022,0.03,18.98333333,,12.4
2/1/2022,,18.76666667,,12.1
2/2/2022,,19.35,,12.3
2/3/2022,,22.19166667,,1
2/4/2022,,31.39166667,,20.9
2/5/2022,,23.12916667,,14
2/6/2022,,23.36666667,,14.2
2/7/2022,,22.5625,,13.1
2/8/2022,,19.97916667,,15.5
2/9/2022,,17.1,,9.8
2/10/2022,,26.8655303,,9.4
2/11/2022,,22.09166667,,14.6
2/12/2022,,19.99583333,,14
2/13/2022,,22.5625,,14
2/14/2022,,21.2,,14
2/15/2022,,20.12916667,,13.8
2/16/2022,,21.4625,,14
2/17/2022,,26.33674242,,14.1
2/18/2022,,24.77083333,,16.1
2/19/2022,,20.625,,13.3
2/20/2022,,21.30833333,,12.2
2/21/2022,,20.7,,13.7
2/22/2022,,21.37916667,,13.8
2/23/2022,,21.7625,,12
2/24/2022,,20.86666667,,13.7
2/25/2022,,23.60416667,,14.8
